,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
0,300550,和仁科技,0.86,11.69,3.57,27.46,0.68,5172.8,11.39,,09-28
1,300555,路通视信,0.99,-10.0,4.42,25.02,0.33,5950.13,-9.66,,09-27
2,300551,古鳌科技,0.92,-9.28,4.96,20.5,0.38,5070.3,-9.28,,09-26
3,603160,汇顶科技,0.95,-1.36,2.93,35.52,0.57,37835.31,-1.36,,09-20
4,300547,川环科技,1.45,9.02,6.31,24.56,1.49,6516.98,9.21,,09-19
5,603816,顾家家居,1.51,17.05,3.12,49.88,2.31,49831.19,17.42,,09-19
6,300549,优德精密,0.88,-9.28,3.33,24.5,1.3,4400.99,-9.58,,09-14
7,300548,博创科技,0.71,77.5,4.84,15.38,0.2,4393.53,75.85,,09-14
8,603313,恒康家居,0.91,24.66,3.58,28.8,0.93,16426.08,25.56,,09-14
9,300546,雄帝科技,1.34,22.94,6.98,21.19,0.76,5346.83,22.8,,09-13
10,603777,来伊份,0.73,-2.67,5.99,12.99,1.06,13158.85,-3.07,,09-13
11,002815,崇达技术,0.84,10.53,2.88,32.12,1.26,30088.23,10.0,,09-12
12,002813,路畅科技,0.51,-47.96,5.07,10.7,0.65,4631.51,-47.75,,09-12
13,300545,联得装备,0.96,6.67,4.11,25.94,0.52,5131.9,6.96,,09-12
14,603738,泰晶科技,1.0,4.17,5.34,20.52,1.25,5017.82,4.63,,09-12
15,603421,鼎信通讯,0.69,-29.59,2.74,28.83,0.32,27045.33,-29.37,,09-12
16,300542,新晨科技,0.52,0.0,5.49,9.88,-0.25,3515.81,0.04,,08-26
17,601500,通用股份,0.29,-21.62,,10.85,0.36,15997.56,-21.06,,08-26
18,300541,先进数通,0.68,13.33,3.84,19.37,0.26,6095.9,12.87,,08-25
19,603189,网达软件,0.44,7.32,2.04,23.02,0.45,7326.07,9.1,,08-25
20,603067,振华股份,0.38,-32.14,,9.9,0.38,6248.82,-32.36,,08-24
21,300534,陇神戎发,0.93,0.42,6.24,15.91,0.47,6067.72,0.42,,08-24
22,002812,创新股份,1.49,17.32,,19.42,1.86,15005.25,17.4,,08-23
23,300543,朗科智能,1.39,17.8,5.6,27.94,1.98,6272.05,17.73,,08-23
24,603887,城地股份,0.76,13.43,4.78,17.3,0.13,5596.09,12.98,,08-23
25,603393,新天然气,1.67,-7.73,5.66,32.82,1.78,20040.5,-7.63,,08-23
26,601163,三角轮胎,1.34,-20.71,4.56,26.14,1.36,80558.37,-20.49,,08-22
27,601128,常熟银行,0.48,-4.0,,12.79,-1.62,96600.35,-3.28,,08-22
28,002811,亚泰国际,0.81,-2.41,4.36,20.14,-0.32,10957.65,-2.28,,08-22
29,300539,横河模具,0.37,19.35,2.89,13.68,0.7,2655.14,20.73,,08-11
30,603658,安图生物,0.74,34.55,1.9,46.36,0.82,27802.68,33.52,,08-11
31,600908,无锡银行,0.5,-10.71,,12.3,6.98,83333.64,-9.97,,08-10
32,300538,同益股份,1.01,4.12,4.52,24.39,1.01,4224.19,3.75,,08-10
33,300537,广信材料,0.55,3.55,3.24,18.72,0.6,4158.58,3.54,,08-09
34,002809,红墙股份,1.38,2.22,7.07,21.38,1.07,8258.42,2.28,,08-09
35,002810,山东赫达,0.69,-10.39,5.52,13.31,0.92,4928.52,-10.37,,08-08
36,603090,宏盛股份,0.49,5.81,3.19,16.27,0.45,3686.05,5.68,,08-08
37,603031,安德利,0.76,26.67,5.56,14.69,1.97,4569.07,26.6,,08-08
38,300540,深冷股份,1.01,-14.41,4.92,22.47,-0.76,6072.98,-13.97,,08-08
39,300536,农尚环境,0.68,11.48,3.83,19.5,0.08,4750.41,11.29,,08-08
40,300533,冰川网络,2.29,9.05,6.31,38.71,2.31,17154.92,8.85,,07-29
41,603515,欧普照明,0.84,50.0,3.48,26.36,0.79,43595.63,48.66,,07-29
42,300532,今天国际,0.99,-15.38,5.83,17.73,0.15,6230.28,-15.61,,07-28
43,603986,兆易创新,2.1,60.31,7.62,31.92,2.9,15778.26,60.8,,07-28
44,300535,达威股份,1.07,18.89,7.01,16.37,1.53,4809.19,19.71,,07-28
45,300530,达志科技,0.72,0.0,4.83,16.18,1.17,3798.98,0.65,,07-27
46,601997,贵阳银行,1.79,32.59,7.76,26.37,21.05,322180.7,32.27,,07-27
47,601595,上海电影,0.69,18.97,2.79,28.86,1.1,19276.96,19.44,,07-27
48,002807,江阴银行,0.52,-0.42,4.64,12.13,5.7,81449.9,-0.42,,07-26
49,600936,广西广电,0.28,7.69,1.46,16.36,0.62,38038.51,5.82,,07-26
50,603159,上海亚虹,0.51,82.14,2.8,20.02,0.67,3822.87,81.02,,07-25
51,300531,优博讯,0.99,25.32,4.43,25.19,0.78,5949.47,25.97,,07-25
52,002808,苏州恒久,0.47,0.43,3.31,15.14,0.19,4220.76,0.37,,07-25
53,603843,正平股份,0.29,-25.64,2.32,13.36,-0.8,8839.21,-24.49,,07-25
54,603569,长久物流,0.85,14.86,2.49,35.65,0.97,30606.34,15.52,,07-21
55,600977,中国电影,0.62,75.64,3.42,20.1,1.44,86831.78,75.88,,07-20
56,601811,新华文轩,0.57,1.79,6.41,9.83,0.9,64726.95,2.29,,07-19
57,300528,幸福蓝海,0.46,31.43,,8.69,1.65,10707.1,30.41,,07-18
58,300527,华舟应急,0.39,28.95,2.64,15.55,1.63,13589.21,28.99,,07-15
59,300529,健帆生物,0.54,25.58,1.52,39.58,0.55,20044.1,25.24,,07-14
60,603322,超讯通信,,,3.99,19.7,0.59,4264.08,49.42,,07-14
61,603007,花王股份,0.68,21.43,4.04,18.41,0.52,6780.61,21.9,,07-14
62,300525,博思软件,0.72,17.79,4.51,17.54,0.96,3673.2,17.79,,07-13
63,300526,中潜股份,0.66,29.41,4.21,17.14,1.71,4224.83,31.39,,07-13
64,002806,华锋股份,0.43,58.3,3.77,12.01,0.49,2564.14,58.28,,07-12
65,300523,辰安科技,1.3,120.34,5.25,27.59,0.96,7779.77,118.02,,07-11
66,603663,三祥新材,0.33,10.0,,14.64,0.53,3309.64,9.08,,07-11
67,002803,吉宏股份,0.43,,2.94,14.6,0.64,3738.44,95.89,,06-22
68,300521,爱司凯,0.71,14.52,3.83,20.52,0.51,4280.32,14.27,,06-22
69,300522,世名科技,1.11,24.72,4.56,27.32,1.18,5528.81,23.83,,06-21
70,603069,海汽集团,0.29,3.57,2.95,10.41,0.99,6888.77,4.69,,06-21
71,300520,科大国创,0.64,30.61,3.85,18.31,0.51,4444.85,32.8,,06-20
72,600919,江苏银行,0.91,8.33,6.27,15.72,14.3,949743.3,9.36,,06-20
73,002805,丰元股份,0.36,-23.4,5.67,6.48,0.38,2631.11,-23.08,,06-20
74,601966,玲珑轮胎,0.68,-18.07,4.36,15.25,1.01,67761.09,-18.77,,06-13
75,603016,新宏泰,0.59,-3.28,4.12,15.49,0.8,6588.17,-2.76,,06-08
76,002802,洪汇新材,0.56,47.37,3.47,17.54,0.64,4537.01,46.9,,06-07
77,002801,微光股份,1.86,15.53,9.29,22.17,2.21,8222.46,16.01,,06-07
78,603958,哈森股份,0.73,14.22,3.93,20.07,0.25,11912.08,14.13,,06-07
