,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
79,300519,新光药业,1.98,12.5,5.16,44.38,2.08,11878.42,12.43,,06-06
80,300517,海波重科,0.59,18.0,4.19,15.15,0.97,4528.9,18.25,,06-06
81,603909,合诚股份,0.71,7.98,3.98,19.34,0.62,5300.24,7.98,,06-06
82,300518,盛讯达,1.32,5.6,6.94,20.97,1.26,9213.64,5.01,,06-06
83,601127,小康股份,0.5,25.0,3.46,15.67,0.52,37236.97,23.93,,05-23
84,300515,三德科技,0.56,-10.33,3.04,19.52,0.37,4217.19,-10.33,,05-20
85,002799,环球印务,0.46,-11.54,4.25,11.6,0.84,3484.13,-8.65,,05-19
86,603131,上海沪工,0.65,-4.41,4.47,15.42,0.89,4848.14,-4.44,,05-18
87,002800,天顺股份,0.58,0.0,4.83,12.73,0.82,3272.91,1.06,,05-17
88,300513,恒泰实达,0.68,12.9,5.37,13.55,0.54,3893.73,12.9,,05-16
89,603959,百利科技,0.45,4.65,2.74,17.68,0.22,7487.45,4.74,,05-16
90,603737,三棵树,1.54,12.41,7.31,23.2,2.86,11550.94,12.51,,05-16
91,601611,中国核建,0.38,18.75,2.87,15.79,0.32,79753.16,19.7,,05-16
92,300516,久之洋,1.33,29.13,4.39,33.82,1.39,11981.02,28.68,,05-16
93,000061,农产品,0.01,-75.65,,0.42,,2055.51,-75.64,10派0.5,04-30
94,002647,宏磊股份,0.04,-118.18,,0.87,,866.22,-118.14,,04-30
95,002496,辉丰股份,0.45,-28.57,,6.1,,17290.33,-14.09,10转28派1,04-30
96,002403,爱仕达,0.36,5.88,,6.8,,11339.46,39.4,,04-30
97,002325,洪涛股份,0.36,-12.2,,11.75,,35750.38,21.01,10派0.35转2,04-30
98,002425,凯撒文化,0.19,850.0,,4.42,,8091.47,1132.71,,04-30
99,000887,中鼎股份,0.64,23.08,,21.69,,71370.59,25.97,10派0.8,04-30
100,300142,沃森生物,-0.6,-198.36,,-33.62,,-84089.53,-686.3,,04-30
101,002312,三泰控股,-0.04,-116.0,,-2.06,,-3792.79,-140.33,10派0.5转5,04-30
102,000611,*ST天首,-1.11,581.7,,-96.93,,-35606.12,581.61,,04-30
103,600461,洪城水业,0.57,26.67,,9.76,,18954.24,27.79,,04-30
104,000938,紫光股份,0.74,20.79,,6.92,,15215.56,20.93,10派0.2,04-30
105,600677,航天通信,0.03,-105.07,,0.65,,1082.25,-104.39,10派0.2,04-30
106,000638,万方发展,-0.11,-1267.35,,-16.12,,-3539.38,-1269.91,,04-30
107,000691,ST亚太,0.04,-155.4,,16.26,,1159.38,-155.35,,04-30
108,600767,运盛医疗,-0.21,-371.05,,-21.2,,-7024.38,-370.34,,04-30
109,300318,博晖创新,0.03,-86.98,,1.07,,1188.2,-68.85,10派0.03转10,04-30
110,000723,美锦能源,-0.19,-733.33,,-10.46,,-36427.42,-3940.28,,04-30
111,000630,铜陵有色,-0.07,-136.84,,-4.63,,-66643.27,-321.66,,04-30
112,000809,铁岭新城,-0.22,-540.0,,-5.31,,-17933.97,-723.32,,04-30
113,000004,国农科技,0.01,-70.2,,1.54,,124.71,-67.19,,04-30
114,600822,上海物贸,-3.19,-10733.33,,-890.05,,-158440.47,-11148.84,,04-30
115,002069,*ST獐岛,-0.34,-79.54,,-24.04,,-24293.63,-79.57,,04-30
116,000539,粤电力A,0.62,-10.14,,14.42,,323773.33,7.78,10派2.3,04-30
117,002715,登云股份,-0.58,-376.19,,-11.27,,-5311.56,-385.19,,04-30
118,002306,中科云网,0.08,-109.41,,-122.27,,6557.4,-109.59,,04-30
119,002366,台海核电,0.05,-81.06,,1.7,,1758.44,-50.11,10派0.5,04-30
120,600423,柳化股份,-1.22,-6200.0,,-46.25,,-48555.24,-5622.86,,04-30
121,300013,新宁物流,-0.52,-1400.0,,-21.12,,-10974.57,-1804.67,,04-30
122,600686,金龙汽车,0.97,73.21,,16.26,,53520.05,115.33,,04-30
123,000687,华讯方舟,-0.36,-1998.42,,-21.88,,-27317.65,-1998.08,,04-30
124,000020,深华发A,-0.02,-187.82,,-2.27,,-673.15,-187.56,,04-30
125,000564,西安民生,0.08,-41.27,,2.08,,4246.06,-29.78,,04-30
126,002605,姚记扑克,0.25,-22.29,,9.53,,9504.19,-22.29,10派1,04-30
127,000961,中南建设,0.3,-63.41,,3.93,,35133.97,-63.37,10派0.4转15,04-30
128,600112,天成控股,-0.35,-1211.54,,-14.99,,-17659.1,-1209.85,,04-30
129,300135,宝利国际,0.03,-79.03,,2.04,,2683.06,-57.7,,04-30
130,000546,金圆股份,0.44,46.68,,15.06,,26438.53,103.9,,04-30
131,000511,*ST烯碳,0.0,-100.87,,0.16,,226.75,-100.84,,04-30
132,000593,大通燃气,0.05,-18.03,,2.14,,1409.46,-17.91,,04-30
133,000061,农产品,0.01,-75.65,,0.42,,2055.51,-75.64,,04-30
134,002647,宏磊股份,0.04,-118.18,,0.87,,866.22,-118.14,,04-30
135,002325,洪涛股份,0.36,-12.2,,11.75,,35750.38,21.01,,04-30
136,002496,辉丰股份,0.45,-28.57,,6.1,,17290.33,-14.09,10转28派1,04-30
137,002403,爱仕达,0.36,5.88,,6.8,,11339.46,39.4,,04-30
138,002425,凯撒文化,0.19,850.0,,4.42,,8091.47,1132.71,,04-30
139,000887,中鼎股份,0.64,23.08,,21.69,,71370.59,25.97,10派0.8,04-30
140,300142,沃森生物,-0.6,-198.36,,-33.62,,-84089.53,-686.3,,04-30
141,002312,三泰控股,-0.04,-116.0,,-2.06,,-3792.79,-140.33,,04-30
142,600022,山东钢铁,0.01,-104.92,,0.46,,7592.99,-105.43,,04-29
143,603558,健盛集团,0.36,-71.88,,14.27,,10135.63,31.58,10派1,04-29
144,600073,上海梅林,0.17,6.58,,5.08,,16349.84,23.17,,04-29
145,600613,神奇制药,0.44,10.0,,10.45,,21673.04,20.29,10派0.65,04-29
146,000869,张裕A,1.5,4.9,,14.4,,103007.39,5.36,10派5,04-29
147,600725,*ST云维,-4.22,148.24,,,,-260033.18,148.16,,04-29
148,600165,新日恒力,0.07,-117.01,,4.89,,4608.87,-142.69,,04-29
149,600295,鄂尔多斯,0.23,-43.9,,3.32,,24093.67,-42.84,10派0.5,04-29
150,600546,*ST山煤,-1.2,37.93,,-47.96,,-238021.41,38.04,,04-29
151,603918,金桥信息,0.47,-18.97,,9.77,,3676.94,-3.51,10派1.3转10,04-29
152,000616,海航投资,0.16,23.08,,5.14,,22187.19,15.72,10派0.2,04-29
153,600146,商赢环球,-0.31,-562.12,,-51.8,,-6107.29,-562.64,,04-29
154,600052,浙江广厦,-0.75,-412.5,,-39.95,,-65611.26,-409.46,,04-29
155,600745,中茵股份,-0.3,-700.0,,-5.78,,-14646.02,-967.02,,04-29
156,600177,雅戈尔,1.96,38.03,,23.96,,437149.74,38.23,10派8,04-29
157,000996,中国中期,0.04,3.63,,1.69,,984.92,3.63,,04-29
158,000883,湖北能源,0.29,38.1,,10.45,,157781.68,37.98,10派0.91,04-29
159,000729,燕京啤酒,0.21,-19.31,,4.71,,58767.85,-19.07,10派0.7,04-29
160,601901,方正证券,0.49,85.82,4.25,12.41,-1.76,406421.2,126.28,10派0.9,04-29
161,600272,开开实业,0.08,-46.67,,4.8,,1984.7,-45.39,10派0.25,04-29
162,300429,强力新材,1.16,1.46,7.54,17.29,,8651.38,27.25,10派2.2,04-29
163,002680,长生生物,0.97,439.33,,25.43,,29305.99,1966.29,10派3转10,04-29
164,603300,华铁科技,0.39,-30.36,,7.94,,6996.96,-18.06,10转10派0.4,04-29
165,600082,海泰发展,0.02,-74.48,,0.59,,1038.35,-74.52,,04-29
166,000670,*ST盈方,0.03,144.76,,4.13,,2100.9,305.0,,04-29
167,600825,新华传媒,0.06,20.0,,2.27,,5779.48,14.62,10派0.17,04-29
168,600432,*ST吉恩,-1.79,237.74,,-42.42,,-286952.0,432.95,,04-29
169,000066,长城电脑,-0.03,-161.36,,-1.39,,-3566.67,-161.79,,04-29
170,600499,科达洁能,0.77,19.17,,14.04,,54131.76,21.34,10派2转10,04-29
171,300287,飞利信,0.16,-56.76,,12.53,,18063.22,95.1,10派0.28,04-29
172,600620,天宸股份,0.11,-38.89,,1.96,,4968.95,-38.03,10派0.4送5,04-29
173,600730,中国高科,0.22,-58.49,,5.04,,6959.66,-55.34,,04-29
174,600869,智慧能源,0.21,15.01,,12.8,,42227.69,131.11,,04-29
175,000852,石化机械,0.01,-94.44,5.52,0.24,,583.72,-91.88,10转3,04-29
176,600897,厦门空港,1.24,-19.36,,12.73,,36952.32,-19.36,10派3.8,04-29
177,000526,紫光学大,-0.14,-791.18,,-9.06,,-1356.25,-789.66,,04-29
178,002624,完美世界,0.59,-10.61,,32.05,,28844.73,51.66,10派0.2655,04-29
179,000637,茂化实华,0.17,21.43,,10.69,,8940.94,23.52,10派1.3,04-29
180,603558,健盛集团,0.36,-71.88,,14.27,,10135.63,31.58,,04-29
181,600073,上海梅林,0.17,6.58,,5.08,,16349.84,23.17,,04-29
182,603918,金桥信息,0.47,-18.97,,9.77,,3676.94,-3.51,10派1.3转10,04-29
183,000616,海航投资,0.16,23.08,,5.14,,22187.19,15.72,10派0.2,04-29
184,600146,商赢环球,-0.31,-562.12,,-51.8,,-6107.29,-562.64,,04-29
185,600052,浙江广厦,-0.75,-412.5,,-39.95,,-65611.26,-409.46,,04-29
186,600745,中茵股份,-0.3,-700.0,,-5.78,,-14646.02,-967.02,,04-29
187,600295,鄂尔多斯,0.23,-43.9,,3.32,,24093.67,-42.84,,04-29
188,600546,*ST山煤,-1.2,37.93,,-47.96,,-238021.41,38.04,,04-29
189,000883,湖北能源,0.29,38.1,,10.45,,157781.68,37.98,10派0.91,04-29
190,000729,燕京啤酒,0.21,-19.31,,4.71,,58767.85,-19.07,10派0.7,04-29
191,601901,方正证券,0.49,85.82,4.25,12.41,-1.76,406421.2,126.28,10派0.9,04-29
192,600272,开开实业,0.08,-46.67,,4.8,,1984.7,-45.39,10派0.25,04-29
193,600177,雅戈尔,1.96,38.03,,23.96,,437149.74,38.23,10派8,04-29
194,000996,中国中期,0.04,3.63,,1.69,,984.92,3.63,,04-29
195,002680,长生生物,0.97,439.33,,25.43,,29305.99,1966.29,10派3转10,04-29
196,603300,华铁科技,0.39,-30.36,,7.94,,6996.96,-18.06,10转10派0.4,04-29
197,600082,海泰发展,0.02,-74.48,,0.59,,1038.35,-74.52,,04-29
198,000670,*ST盈方,0.03,144.76,,4.13,,2100.9,305.0,,04-29
199,600825,新华传媒,0.06,20.0,,2.27,,5779.48,14.62,10派0.17,04-29
200,300429,强力新材,1.16,1.46,7.54,17.29,,8651.38,27.25,10派2.2,04-29
201,300287,飞利信,0.16,-56.76,,12.53,,18063.22,95.1,10派0.28,04-29
202,600620,天宸股份,0.11,-38.89,,1.96,,4968.95,-38.03,10派0.4,04-29
203,600730,中国高科,0.22,-58.49,,5.04,,6959.66,-55.34,,04-29
204,600869,智慧能源,0.21,15.01,,12.8,,42227.69,131.11,,04-29
205,000852,石化机械,0.01,-94.44,5.52,0.24,,583.72,-91.88,10转3,04-29
206,600897,厦门空港,1.24,-19.36,,12.73,,36952.32,-19.36,10派3.8,04-29
207,000526,紫光学大,-0.14,-791.18,,-9.06,,-1356.25,-789.66,,04-29
208,600432,*ST吉恩,-1.79,237.74,,-42.42,,-286952.0,432.95,,04-29
209,000066,长城电脑,-0.03,-161.36,,-1.39,,-3566.67,-161.79,,04-29
210,600499,科达洁能,0.77,19.17,,14.04,,54131.76,21.34,10派2转10,04-29
211,601918,*ST新集,-0.99,30.13,,-46.0,,-256116.4,30.06,,04-29
212,600281,太化股份,-0.34,-1028.57,,-29.21,,-17723.5,-1027.64,,04-29
213,600057,象屿股份,0.28,-12.5,,7.21,,28885.48,1.89,,04-29
214,002608,*ST舜船,-14.54,201.66,,,,-545040.34,201.48,,04-29
215,300512,中亚股份,1.32,6.45,5.02,28.79,1.16,13368.17,6.88,,04-29
216,002624,完美世界,0.59,-10.61,,32.05,,28844.73,51.66,10派0.2655,04-29
217,000637,茂化实华,0.17,21.43,,10.69,,8940.94,23.52,10派1.3,04-29
218,600638,新黄浦,0.4,33.77,,6.37,,22676.22,33.62,10派1.3,04-29
219,603198,迎驾贡酒,0.69,1.47,,16.42,,53039.91,9.01,,04-29
220,600690,青岛海尔,0.71,-59.48,,16.22,,430076.05,-13.84,10派2.12,04-29
221,603223,恒通股份,0.42,-22.22,,9.01,,4368.62,-10.7,,04-29
222,002712,思美传媒,1.03,22.62,,10.08,,8833.4,24.73,10转20派1.5,04-29
223,600302,标准股份,0.14,-148.41,,4.18,,4734.41,-148.42,,04-29
224,600322,天房发展,0.0,-97.27,,0.1,,449.48,-97.33,10派0.02,04-29
225,000629,*ST钒钛,-0.26,-41.52,,-23.23,,-220736.2,-41.53,,04-29
226,002058,威尔泰,-0.08,-300.0,,-5.88,,-1113.32,-290.58,,04-29
227,600726,华电能源,0.01,-85.71,,0.74,,2339.59,-84.1,,04-29
228,000798,中水渔业,-0.75,-1244.16,,-34.07,,-24086.97,-1244.37,,04-29
229,600877,中国嘉陵,-0.23,-1492.81,,-142.93,,-15988.64,-1490.29,,04-29
230,600900,长江电力,0.7,-2.62,,13.58,,1151997.64,-2.62,,04-29
231,600265,*ST景谷,-0.7,100.0,,,,-9104.88,99.11,,04-29
232,000899,赣能股份,0.89,48.33,,24.3,,57455.9,48.15,10派4,04-29
233,600783,鲁信创投,0.3,-26.83,,6.67,,22408.14,-25.71,,04-29
234,600361,华联综超,0.08,-46.67,,1.73,,5312.97,-48.15,10派3,04-29
235,601021,春秋航空,1.68,-43.05,,23.01,,132785.88,50.18,10派2.1,04-29
236,600257,大湖股份,0.01,63.16,,0.35,,262.68,64.02,,04-29
237,000923,河北宣工,0.0,-101.1,,0.16,,69.76,-100.97,,04-29
238,600469,风神股份,0.66,-25.11,,8.55,,24723.41,-25.49,10派10送5,04-29
239,600489,中金黄金,0.03,0.0,,0.86,,8637.82,2.41,,04-29
240,600708,光明地产,0.46,43.92,,8.8,,51027.16,210.34,10派1,04-29
241,000615,京汉股份,0.61,771.43,,14.35,,23768.39,1409.19,10转10派1,04-29
242,002577,雷柏科技,-1.58,-1315.38,,-38.0,,-44823.02,-1327.9,,04-29
243,600117,西宁特钢,-2.18,-3733.33,,-85.94,,-161894.1,-3993.42,,04-29
244,600331,宏达股份,0.02,-107.84,,0.86,,3946.98,-111.67,,04-29
245,600734,实达集团,0.44,-491.12,,79.58,,15481.91,-491.24,,04-29
246,600004,白云机场,1.09,14.74,,14.0,,125309.11,15.21,10派3.2,04-29
247,600567,山鹰纸业,0.06,100.0,,3.46,,20906.19,90.15,10派0.2,04-29
248,000571,新大洲A,0.07,-28.48,,2.61,,5679.53,-25.56,10派0.3,04-29
249,601989,中国重工,-0.14,-210.0,,-4.49,,-262148.45,-215.17,,04-29
250,002289,*ST宇顺,-5.88,197.81,,-98.18,,-109807.01,235.73,,04-29
251,300343,联创互联,0.3,275.0,,2.88,,3081.46,382.97,10派2转27,04-29
252,600652,游久游戏,0.09,-138.96,,3.68,,7461.67,-154.35,10派0.27,04-29
253,601519,大智慧,-0.23,-524.07,,-16.24,,-45601.66,-526.49,,04-29
254,000518,四环生物,-0.07,-1346.55,,-11.56,,-7444.55,-1349.8,,04-29
255,600503,华丽家族,0.01,-15.82,,0.59,,2125.62,7.27,10派0.04,04-29
256,600321,国栋建设,-0.04,-900.0,,-2.24,-0.01,-5710.99,-1045.9,,04-29
257,000584,友利控股,0.04,-83.92,,1.37,,2625.48,-83.92,,04-29
258,000681,视觉中国,0.23,-2.09,,19.26,,15755.78,11.14,,04-29
259,600512,腾达建设,-0.03,-200.0,,-1.52,,-2869.69,-219.46,,04-29
260,600584,长电科技,0.05,-72.22,,1.41,,5199.75,-66.81,10派0.1,04-29
261,002358,森源电气,0.23,-65.15,,8.59,,18260.96,-30.59,,04-29
262,000788,北大医药,0.04,-180.0,,2.23,,2502.86,-192.34,,04-29
263,000651,格力电器,2.08,-55.84,,27.31,,1253244.28,-11.46,10派15,04-29
264,000554,泰山石油,0.01,-44.68,,0.41,,373.92,-44.92,,04-29
265,002432,九安医疗,-0.41,-1466.67,,-22.04,,-15076.13,-1578.41,,04-29
266,002335,科华恒盛,0.66,13.79,,12.16,,14592.97,14.94,,04-29
267,600784,鲁银投资,-0.11,-275.38,,-4.48,,-6484.98,-279.99,,04-29
268,603601,再升科技,0.35,-51.36,,16.47,,5109.31,39.71,,04-29
269,600240,华业资本,0.62,113.79,,20.86,,88261.66,112.86,10派1,04-29
270,600098,广州发展,0.48,6.72,,9.09,,130261.49,6.41,10派1.9,04-29
271,600234,*ST山水,-0.08,60.0,,-29.36,,-1610.89,47.6,,04-29
272,600679,上海凤凰,0.01,-90.56,,0.55,,365.6,-90.53,,04-29
273,600556,ST慧球,0.01,550.0,,112.84,,513.19,745.77,,04-29
274,601101,昊华能源,0.05,-66.67,,0.85,,5760.04,-68.49,10派0.232,04-29
275,600179,*ST黑化,-0.69,-11.54,,,,-26778.67,-12.43,,04-29
276,601001,大同煤业,-1.08,-1300.0,,-28.21,,-180102.09,-1308.79,,04-29
277,002423,*ST中特,-0.42,326.33,,-11.06,,-21335.22,357.42,,04-29
278,600241,时代万恒,0.09,-118.75,,3.49,,1664.72,-119.08,10派0.25,04-29
279,601636,旗滨集团,0.07,-75.13,,3.33,,17133.26,-22.49,,04-29
280,600824,益民集团,0.18,-11.59,,10.27,,19302.0,6.26,10派0.55,04-29
281,600683,京投发展,0.16,433.33,,5.99,,11538.71,358.89,10派1.3,04-28
282,603308,应流股份,0.19,-29.63,,4.06,,7500.53,-29.44,,04-28
283,601616,广电电气,0.01,-79.57,,0.31,,794.98,-79.49,10派0.5,04-28
284,002278,神开股份,0.03,-84.21,,0.94,,1111.91,-81.72,,04-28
285,000410,沈阳机床,-0.83,-2625.76,,-26.74,,-63803.4,-2594.41,,04-28
286,600020,中原高速,0.51,28.55,,13.86,,114453.84,28.55,10派1.6,04-28
287,600086,东方金钰,0.23,-17.63,,16.41,,30028.7,204.25,,04-28
288,000863,三湘印象,0.11,-42.11,,3.51,,10463.66,-28.41,,04-28
289,603518,维格娜丝,0.76,-37.19,,8.43,,11211.31,-18.92,10派1.15,04-28
290,002237,恒邦股份,0.2,-63.64,,5.04,,18072.0,-27.83,,04-28
291,002476,宝莫股份,0.04,-49.68,,2.37,,2413.84,-49.62,10派0.3,04-28
292,600215,长春经开,0.01,-50.0,,0.19,,467.96,-49.35,10派0.03,04-28
293,000662,天夏智慧,-0.01,-126.35,,-0.44,,-253.9,-126.4,,04-28
294,000153,丰原药业,0.1,-20.94,,2.86,,3238.96,-20.98,10派1,04-28
295,600145,*ST新亿,0.16,-103.93,,,,6177.64,-104.02,,04-28
296,600105,永鼎股份,0.4,5.26,,8.84,,18073.51,26.0,10派0.4转7送3,04-28
297,601166,兴业银行,2.63,6.48,15.1,18.89,42.97,5020700.0,6.51,10派6.1,04-28
298,600981,汇鸿集团,0.43,1195.18,,11.48,,76257.79,4352.82,10派0.29,04-28
299,600838,上海九百,0.23,109.94,,10.35,,9230.39,109.89,10派0.7,04-28
300,600612,老凤祥,2.14,18.88,,26.09,,111735.17,18.88,10派9.6,04-28
301,000966,长源电力,1.72,37.96,,34.54,,95223.88,37.96,10派2.6转10,04-28
302,603589,口子窖,1.06,35.9,,20.55,,60539.69,43.41,10派3.5,04-28
303,601009,南京银行,2.21,16.93,14.01,17.59,25.58,700057.6,24.82,10派4转8,04-28
304,002514,宝馨科技,0.17,142.86,,4.66,,4676.1,176.71,10转10,04-28
305,600789,鲁抗医药,0.01,-104.55,,0.49,,789.72,-106.31,,04-28
306,600984,建设机械,0.02,-103.27,,0.48,,608.62,-104.76,,04-28
307,600648,外高桥,0.48,-25.0,,6.03,,53941.71,-22.72,10派1.5,04-28
308,002225,濮耐股份,0.1,-50.0,,3.38,,8463.65,-47.79,10派0.3,04-28
309,000876,新希望,1.06,-2.75,,11.98,,221104.77,9.47,10派5.5转10,04-28
310,600594,益佰制药,0.24,-80.35,,5.45,,18938.12,-60.42,10派0.2,04-28
311,600615,丰华股份,0.02,-72.86,,0.72,,356.33,-72.92,,04-28
312,600629,华建集团,0.42,3116.15,,22.44,,14664.29,3231.19,,04-28
313,000935,四川双马,-0.16,-420.0,,-4.21,,-11372.5,-445.21,,04-28
314,000672,上峰水泥,0.08,-82.61,,3.51,,6118.04,-83.49,10派0.3,04-28
315,600346,*ST橡塑,-0.36,-46.27,,-45.01,,-24310.17,27.14,,04-28
