,code,name,cf_sales,rateofreturn,cf_nm,cf_liabilities,cashflowratio
1806,002102,冠福股份,0.0516,0.013999999999999999,0.3553,0.0346,7.2614
1807,002567,唐人神,0.0515,0.1203,3.1942,0.373,42.9734
1808,002692,远程电缆,0.0515,0.0488,1.0558,0.0923,9.2536
1809,300228,富瑞特装,0.0515,0.0174,5.5508,0.0369,3.8739
1810,300496,中科创达,0.0514,0.0264,0.2718,0.1425,16.2414
1811,002087,新野纺织,0.0514,0.0252,1.3352,0.0373,7.1195
1812,002368,太极股份,0.0513,0.0427,1.2318,0.0683,6.9337
1813,600120,浙江东方,0.0513,0.0349,0.636,0.0712,8.7517
1814,300020,银江股份,0.0512,0.0209,0.9118,0.0486,5.0159
1815,002584,西陇科学,0.0512,0.0539,1.3319,0.2169,22.3308
1816,603322,超讯通信,0.0512,0.0545,0.8328,0.0862,8.6223
1817,600329,中新药业,0.0509,0.0594,0.7875,0.1836,19.5935
1818,000570,苏常柴A,0.0508,0.0396,1.7649,0.1056,11.6679
1819,601669,中国电建,0.0507,0.0264,1.8416,0.0319,5.2829
1820,000983,西山煤电,0.0506,0.0181,4.4838,0.0284,4.533
1821,300225,金力泰,0.0506,0.0332,0.5638,0.1639,17.7114
1822,002586,围海股份,0.0504,0.0214,1.4859,0.034,4.6551
1823,002614,蒙发利,0.0502,0.0362,0.7798,0.0893,9.7747
1824,002047,宝鹰股份,0.0502,0.0499,0.9139,0.08,8.0175
1825,300492,山鼎设计,0.0501,0.023,0.3461,0.0842,10.0219
1826,600839,四川长虹,0.0499,0.0582,,0.0856,9.4638
1827,600056,中国医药,0.0497,0.0633,1.4222,0.10099999999999999,12.5862
1828,000928,中钢国际,0.0497,0.036000000000000004,1.0205,0.0459,4.5855
1829,600103,青山纸业,0.0497,0.032,,0.0514,6.9472
1830,600618,氯碱化工,0.0496,0.0631,2.9160000000000004,0.1186,17.8585
1831,300538,同益股份,0.0495,0.1164,1.0038,0.243,24.6232
1832,600076,康欣新材,0.0494,0.0139,0.1889,0.0454,7.5685
1833,603100,川仪股份,0.0494,0.0368,1.0556,0.0645,7.2601
1834,000801,四川九洲,0.0493,0.0345,0.7041,0.0667,7.0202
1835,000936,华西股份,0.0492,0.0254,1.0389,0.1028,12.0122
1836,600755,厦门国贸,0.0492,0.081,3.2901,0.1052,10.9539
1837,601390,中国中铁,0.0492,0.0428,2.5927,0.0532,6.4955
1838,000880,潍柴重机,0.049,0.0346,3.862,0.0553,5.9025
1839,600130,波导股份,0.0489,0.0679,1.5333,0.2269,23.1773
1840,600327,大东方,0.0488,0.0822,2.3121,0.1543,17.8625
1841,600057,象屿股份,0.0488,0.11199999999999999,6.3208,0.1709,17.593
1842,600629,华建集团,0.0488,0.0497,1.3006,0.0609,6.4792
1843,300457,赢合科技,0.0487,0.0182,0.2963,0.039,5.0196
1844,000501,鄂武商A,0.0487,0.0481,1.0658,0.0626,7.2932
