,code,name,mbrg,nprg,nav,targ,epsg,seg
703,002668,奥马电器,5.4117,31.4479,18.6244,34.772,30.8943,14.559000000000001
704,300526,中潜股份,28.358,31.3932,18.9457,2.3392,29.4118,18.9457
705,600011,华能国际,2.7893,31.3184,15.0084,10.128,26.6667,14.7558
706,603611,诺力股份,-4.7103,31.261,80.3841,43.5725,-50.365,80.3607
707,002614,蒙发利,0.6926,31.2568,6.9465,18.0804,-15.3846,6.1417
708,600340,华夏幸福,42.5847,31.1907,47.3304,47.9617,-32.2097,38.1191
709,600320,振华重工,-7.1682,31.1772,5.5172,5.1216,11.1111,0.6019
710,300433,蓝思科技,18.834,31.1055,40.639,12.3553,21.134,40.6883
711,002636,金安国纪,12.5571,31.0573,4.0693,16.7856,-50.6667,4.0693
712,002504,弘高创意,5.7369,30.9848,33.453,61.1196,-5.7971,33.453
713,300426,唐德影视,31.8005,30.9686,155.9245,62.3698,-48.951,150.6627
714,603568,伟明环保,1.2059,30.8791,71.77199999999999,7.596,21.8182,71.77199999999999
715,600754,锦江股份,90.9544,30.8683,-2.8999,137.8558,0.8655,-4.7708
716,000042,中洲控股,66.4409,30.8335,70.1461,52.0183,31.2804,70.1689
717,000797,中国武夷,13.4349,30.8106,-19.7485,25.5241,13.7931,-15.5917
718,002511,中顺洁柔,17.3368,30.6567,3.5807,-0.1258,5.8824,3.5807
719,600667,太极实业,4.5863,30.5339,5.7876,-1.5795,100.0,3.7603
720,002191,劲嘉股份,17.08,30.4345,20.986,13.2285,-37.8971,19.5922
721,000035,中国天楹,49.8273,30.3854,14.0672,34.4328,5.7143,14.0672
722,002126,银轮股份,12.7328,30.3762,35.2385,11.6621,23.913,36.6952
723,002197,证通电子,16.6615,30.3632,10.4184,51.9101,-20.8333,6.716
724,002315,焦点科技,-3.0153,30.3501,10.4881,14.6427,31.1667,10.7651
725,600057,象屿股份,23.8495,30.1014,65.3176,25.5149,-12.5,60.0199
726,002268,卫士通,29.6504,29.9656,12.0844,35.9501,-37.715,11.2027
727,002396,星网锐捷,24.0223,29.9189,33.5159,36.5276,-28.2167,21.8838
728,002285,世联行,42.3915,29.8441,74.5667,79.7402,-26.9231,75.2031
729,600493,凤竹纺织,-7.3237,29.7814,1.1952,-8.2366,29.8913,1.1952
730,002115,三维通信,-4.3749,29.7657,1.0062,1.6289,36.2832,2.3197
731,002699,美盛文化,-10.5035,29.6018,57.3137,43.2238,-38.2979,65.4662
732,300266,兴源环境,17.9504,29.5917,12.8693,24.8105,-41.8605,10.6709
733,000555,神州信息,2.3456,29.555999999999997,11.4466,15.1217,-41.0676,10.9027
734,002590,万安科技,27.839000000000002,29.5442,10.402000000000001,13.616,-38.8889,10.126
735,603328,依顿电子,11.4206,29.4721,9.7046,8.8589,18.5185,9.7046
736,000563,陕国投A,,29.4667,100.69200000000001,105.3877,26.5674,100.69200000000001
737,603128,华贸物流,0.1391,29.3611,10.4398,-1.4078,-37.8882,9.8433
738,002009,天奇股份,22.0992,29.2958,25.1275,17.9557,-10.0,22.4329
739,000819,岳阳兴长,1.4681,29.2229,5.8115,5.5089,13.8728,6.2776
740,600605,汇通能源,-13.2266,29.1131,14.4342,36.0823,29.6296,14.4342
741,300527,华舟应急,23.9294,28.9857,13.8169,26.8313,28.9474,13.8169
742,603766,隆鑫通用,6.0038,28.9795,30.8622,36.2169,25.0,25.5711
743,002032,苏泊尔,14.4215,28.9647,17.0822,11.4938,30.1471,16.7113
744,600376,首开股份,13.2725,28.8949,50.6735,43.9502,21.4723,51.2356
745,600135,乐凯胶片,25.0418,28.8468,61.6448,61.1982,25.9305,62.3046
746,002238,天威视讯,35.9572,28.7874,7.0555,17.8604,-2.0,5.2273
747,300127,银河磁体,0.7914,28.7872,4.4751,2.6425,31.8182,4.4303
748,600020,中原高速,16.8332,28.7841,56.6847,20.5844,28.5462,56.7326
749,300511,雪榕生物,14.7039,28.7642,21.5482,14.5998,29.4118,21.4415
750,600973,宝胜股份,6.7919,28.7636,7.7229,3.2489999999999997,24.6006,5.602
751,300190,维尔利,47.6983,28.7292,7.7137,40.8404,-40.678000000000004,6.9823
752,600337,美克家居,5.3449,28.7069,7.166,20.5881,27.7778,7.166
753,300516,久之洋,26.7365,28.6845,34.3751,50.049,29.1262,34.3751
754,300179,四方达,7.5043,28.6455,2.9530000000000003,0.7812,-42.8824,3.4682
755,600373,中文传媒,10.4586,28.6359,48.6977,41.9517,14.3025,52.1977
756,603118,共进股份,18.4366,28.5134,79.6798,35.8813,1.1494,79.626
757,002771,真视通,21.8189,28.5092,101.5431,43.5286,10.2564,101.5431
758,002403,爱仕达,1.6083,28.4019,0.0193,1.195,5.8824,0.429
759,300520,科大国创,9.622,28.3981,19.3027,21.975,30.6122,20.2053
760,300446,乐凯新材,14.6592,28.3849,75.2234,43.3442,4.7904,75.2234
761,300531,优博讯,25.9798,28.3697,28.787,35.1583,25.3165,28.787
762,002595,豪迈科技,27.2376,28.2603,17.5248,20.8971,-35.7143,17.4105
763,603861,白云电器,12.9234,28.1509,11.3137,0.9463,28.135,11.3137
764,002541,鸿路钢构,-24.4374,28.103,6.684,-4.2103,29.4118,6.6841
765,002104,恒宝股份,17.4039,28.0572,25.3046,21.3018,29.2683,24.4395
766,600562,国睿科技,13.5047,28.0455,16.1791,31.6687,28.0702,16.1791
767,601222,林洋能源,23.4921,28.0359,68.4114,59.7401,12.1739,69.2918
768,002182,云海金属,-3.2036,28.0063,-0.3709,7.6939,8.9583,0.2406
769,600271,航天信息,12.1459,27.9754,18.9928,36.2267,35.4839,21.1415
770,601900,南方传媒,4.243,27.9426,18.2355,11.4099,20.8333,19.9109
771,002793,东音股份,8.7258,27.874000000000002,7.6198,22.7169,28.2353,7.6198
772,300137,先河环保,42.5599,27.8197,35.0392,36.2773,13.6364,33.4501
773,603368,柳州医药,15.0709,27.623,15.9051,15.2414,0.0,15.0135
774,000887,中鼎股份,29.8181,27.6123,23.6404,37.6847,23.0769,25.0043
775,300416,苏试试验,23.2117,27.5987,69.3339,40.6405,-6.4867,67.2819
776,002051,中工国际,-14.8217,27.5756,10.8094,10.8402,20.354,12.2229
777,300036,超图软件,29.3643,27.5449,6.8482,19.8069,-20.0,6.962999999999999
778,300347,泰格医药,53.2271,27.4908,16.2521,18.5924,-38.9831,16.0749
779,300482,万孚生物,17.3466,27.4363,123.5389,94.8314,9.396,123.5389
780,002108,沧州明珠,4.0814,27.2367,10.1295,-3.3197,-28.5714,12.2572
781,600461,洪城水业,11.681,27.1495,9.286,10.6485,26.6667,9.5746
782,300429,强力新材,21.2026,27.1132,129.1632,77.33,1.4561,129.5767
783,603866,桃李面包,24.5524,27.111,80.0561,73.634,28.3582,80.0561
784,600705,中航资本,15.7466,27.0448,23.9203,40.5371,22.0,55.4739
785,300432,富临精工,22.8477,27.0005,126.9965,73.3885,-62.2754,128.1356
786,600630,龙头股份,3.2965,26.9504,3.8635,3.9658,26.6667,3.8655
787,600624,复旦复华,-28.7971,26.8976,3.9848,11.0564,-9.1743,3.7453
788,600559,老白干酒,10.7459,26.8938,131.1642,24.9158,28.5714,131.1642
789,002443,金洲管道,-13.1838,26.8613,1.8534,3.6835,20.0,2.241
790,300452,山河药辅,8.1562,26.7388,104.9655,71.9489,7.0,104.9655
791,600323,瀚蓝环境,37.8464,26.7376,33.2259,12.5633,8.1633,32.0014
792,002772,众兴菌业,25.0388,26.6503,108.3961,58.5774,8.642000000000001,108.0506
793,603031,安德利,5.7019,26.5956,15.8591,2.9782,26.6667,15.8591
794,300310,宜通世纪,30.072,26.5553,7.7499,12.7709,28.5714,7.5685
795,600713,南京医药,12.3996,26.4231,10.2269,10.8472,24.1135,7.4698
796,600570,恒生电子,56.5249,26.4128,25.3709,31.1632,25.8621,26.932
797,002470,金正大,30.9388,26.3087,16.2149,6.6719,-42.2764,16.6303
798,300240,飞力达,-18.6851,26.2825,2.2145,5.6088,-10.0,2.8179
799,603099,长白山,8.7504,26.1761,9.3214,8.4282,5.5556,9.3214
800,300229,拓尔思,33.743,26.1336,8.2003,15.222000000000001,-42.5983,6.9697
801,300284,苏交科,18.4843,26.1091,33.1656,26.789,12.5652,33.5627
802,600114,东睦股份,11.2173,25.9654,8.8114,10.6782,22.8571,10.6162
803,603609,禾丰牧业,6.0929,25.8988,13.5514,12.4951,-24.0,12.2073
804,002701,奥瑞金,22.1412,25.759,16.9107,54.9445,-21.2121,16.3253
805,603313,恒康家居,18.5062,25.7016,27.7469,34.1007,24.6575,27.6477
806,002415,海康威视,46.6444,25.6734,29.6945,42.3941,24.7863,29.723000000000003
807,002588,史丹利,24.5258,25.6312,25.226,24.0072,-38.1503,19.2059
808,603027,千禾味业,-4.1781,25.6007,16.5927,11.5674,25.6004,16.5927
809,600718,东软集团,-0.5726,25.4236,14.6641,25.8839,47.619,12.2113
810,603366,日出东方,-14.9311,25.3473,4.6061,6.7978,-37.037,4.6189
811,000883,湖北能源,-2.545,25.3275,55.9316,27.6594,38.0952,49.8747
812,002219,恒康医疗,72.3496,25.261999999999997,260.3519,152.7435,-55.5928,264.9708
813,300529,健帆生物,37.1943,25.2379,24.6763,27.7658,25.5814,24.6763
814,603939,益丰药房,27.5887,25.1644,138.2452,94.787,-50.9402,139.1151
815,002271,东方雨虹,5.9543,25.1027,17.5111,18.3389,-44.0252,18.3298
816,603798,康普顿,0.9994,25.086,32.606,20.08,24.7191,32.606
817,002013,中航机电,-3.0949,25.0699,12.7225,6.9017,0.0,11.0615
818,002139,拓邦股份,29.6303,25.0424,74.0446,65.5891,13.3333,74.8982
819,600796,钱江生化,19.0746,24.9868,5.2987,-2.8878,28.5714,4.8411
820,002321,华英农业,0.7811,24.9688,1.2758,16.0761,38.9831,1.1956
821,002557,洽洽食品,6.3645,24.9405,3.9589999999999996,7.0120000000000005,-17.2414,4.658
822,603567,珍宝岛,30.1428,24.9354,83.2617,65.0816,9.187999999999999,82.9103
823,002372,伟星新材,16.6898,24.9279,13.0534,13.3476,-5.617999999999999,13.0534
824,601009,南京银行,,24.9181,59.8776,40.4554,16.9312,60.3336
825,600287,江苏舜天,1.0908,24.9091,3.2157,-25.311999999999998,45.6594,4.4833
826,002316,键桥通讯,63.9415,24.9044,2.5127,2.4364,17.8,3.3109
827,600983,惠而浦,-0.6655,24.8966,8.0071,8.2843,-5.8824,8.0071
828,002117,东港股份,13.085999999999999,24.8801,8.7518,11.2355,28.2609,8.5006
829,000501,鄂武商A,2.1142,24.877,9.6568,13.4335,21.5385,16.1298
830,300197,铁汉生态,30.4619,24.8436,59.4186,37.0061,-18.75,59.801
831,002706,良信电器,18.3876,24.7926,15.8085,18.6322,-6.7227,15.8085
832,300238,冠昊生物,18.8151,24.6971,16.7425,30.2624,-36.5854,9.2986
833,300377,赢时胜,25.0293,24.6667,7.7683,9.7493,26.1905,7.2022
834,002763,汇洁股份,14.1282,24.6284,110.85600000000001,16.2162,7.3171,109.395
835,002481,双塔食品,16.6921,24.5309,7.1094,10.7139,-55.8824,7.3304
836,000639,西王食品,19.9676,24.4999,11.534,-6.2985,-37.0968,11.534
837,603989,艾华集团,11.4737,24.4963,116.9416,75.1896,-27.5,123.4759
838,002400,省广股份,51.9291,24.4656,26.1319,60.1476,-17.5676,26.4104
839,002050,三花股份,5.7849,24.4624,31.9947,14.5111,-46.0317,31.69
840,601611,中国核建,-8.5506,24.436999999999998,47.1795,27.8217,18.75,47.6586
841,002686,亿利达,15.8778,24.3402,12.3597,21.2799,-21.6667,9.6628
842,002712,思美传媒,15.9462,24.232,11.9198,41.9117,22.619,11.671
843,600499,科达洁能,-19.5301,24.19,14.1782,11.1367,19.1654,13.6364
844,002465,海格通信,28.8694,24.1816,29.1555,16.5674,-36.3636,31.1821
845,300418,昆仑万维,-7.4971,24.176,164.8487,164.8393,-76.12899999999999,164.8487
846,600398,海澜之家,28.2991,24.1745,17.5842,26.504,22.2222,17.7297
847,002138,顺络电子,13.4833,24.011,13.8435,17.8211,-40.0,13.9392
848,002039,黔源电力,25.7471,23.9446,10.2765,-2.0376,22.1819,12.4686
849,300289,利德曼,26.9484,23.9372,15.3044,2.6304,-52.381,23.0629
850,002644,佛慈制药,-17.9133,23.9367,67.7938,30.1734,-53.3846,67.7938
851,002174,游族网络,81.9351,23.8965,144.1829,112.6282,11.3772,141.9337
852,600998,九州通,20.7479,23.8619,21.7438,35.067,19.4444,19.9287
853,002436,兴森科技,26.6249,23.8506,32.4613,45.1024,-48.2143,27.7736
854,300522,世名科技,9.7261,23.831,26.4954,36.8701,24.7191,26.4954
855,600292,远达环保,1.4876,23.8096,3.1039999999999996,-1.0983,-13.9535,1.5151
856,300379,东方通,22.2211,23.7594,7.6384,-4.9311,-45.3306,7.6384
857,002532,新界泵业,0.0965,23.6993,11.5016,8.0671,37.037,11.1612
858,300008,天海防务,41.3589,23.6666,12.0679,29.0828,20.6522,12.7686
859,603899,晨光文具,23.1931,23.5773,74.884,65.6812,9.424,75.2537
860,300436,广生堂,21.3998,23.5493,230.9692,168.0337,-38.2245,230.9692
861,300188,美亚柏科,26.5406,23.5426,73.1656,67.5583,-40.3846,77.277
862,300146,汤臣倍健,32.9073,23.4275,86.0467,81.6029,15.5844,86.38
863,002563,森马服饰,16.0463,23.3928,8.874,12.3567,-69.3252,8.6175
864,300095,华伍股份,-16.5052,23.3497,-0.3004,5.3387,-16.2518,1.7558
865,002331,皖通科技,12.8934,23.3141,5.3055,13.9804,-7.7162,4.8902
866,600221,海南航空,-2.2704,23.2571,21.5595,2.7866,15.493,16.8574
867,300373,扬杰科技,28.7246,23.2456,17.1103,49.3536,-52.1739,17.1599
868,000022,深赤湾A,3.7591,23.203000000000003,7.2547,-0.3179,26.3889,7.8804
869,002224,三力士,-3.9747,23.19,13.7678,13.2401,26.6667,16.4068
870,002223,鱼跃医疗,25.0883,23.0928,21.0362,36.8315,10.7143,20.8904
871,603108,润达医疗,19.885,23.0585,95.2273,56.1272,2.2802,94.3524
872,002393,力生制药,0.1365,22.9635,2.0628,4.9769,23.5294,2.0648
873,600172,黄河旋风,9.318999999999999,22.9298,87.6745,52.6469,-4.4132,87.6745
874,300079,数码视讯,87.9835,22.9121,8.2981,25.3541,-40.7407,9.4501
875,300133,华策影视,38.6849,22.9095,76.3219,62.2857,-22.5806,76.187
876,300546,雄帝科技,9.2713,22.8008,23.7056,17.923,22.9358,23.7056
877,002786,银宝山新,27.2626,22.7574,60.8991,40.9459,25.0,62.4846
878,300476,胜宏科技,18.2112,22.6662,113.0655,54.2926,4.2553,113.0655
879,300305,裕兴股份,-10.5769,22.6449,6.625,7.6085,22.4279,6.625
880,000768,中航飞机,13.7639,22.6384,31.1529,10.0366,11.6893,27.9622
881,300012,华测检测,39.0683,22.5093,12.9389,18.9523,20.5128,12.3543
882,600482,中国动力,0.0456,22.5024,5.1253,0.1863,22.2222,5.3199
883,300445,康斯特,15.3649,22.464000000000002,112.1193,63.1308,-52.0773,112.1193
884,002575,群兴玩具,-20.9765,22.3366,-0.9335,-2.5916,-48.5,-0.9335
885,600062,华润双鹤,20.029,22.2852,13.1859,17.2799,-3.7346,7.5282
886,000917,电广传媒,9.3439,22.2764,13.1221,27.7618,17.3913,9.863999999999999
887,000963,华东医药,14.6722,22.2125,28.7734,26.7562,45.4023,31.0559
888,001979,招商蛇口,8.2146,22.1812,36.925,25.3386,,177.3497
889,002747,埃斯顿,-5.6113,22.1535,73.1299,63.7807,-8.1633,73.075
890,600261,阳光照明,30.9652,22.0556,7.2819,13.6191,-13.3333,8.5678
891,600697,欧亚集团,11.8078,22.0409,20.3251,18.3639,8.5106,17.5151
892,002348,高乐股份,-0.6244,21.9625,2.9923,4.1085,21.9235,2.9923
893,600617,国新能源,22.9254,21.9343,54.7492,21.8113,-27.4603,68.7282
894,002156,通富微电,11.0594,21.9334,58.1901,64.6487,8.3684,58.1901
895,300263,隆华节能,10.1029,21.9317,56.1851,35.2259,13.1579,55.5758
896,603007,花王股份,5.5578,21.8953,21.4483,7.8567,21.4286,21.4483
897,002742,三圣特材,11.0204,21.755,78.8883,47.3882,-37.1429,79.4744
898,300009,安科生物,17.2102,21.7519,63.4802,53.0503,-5.2632,64.6967
899,000997,新大陆,36.2261,21.7319,19.762999999999998,29.2614,-31.4815,17.0969
900,002294,信立泰,20.6424,21.688000000000002,23.9578,16.6992,-23.8994,21.4306
901,002732,燕塘乳业,8.6875,21.6778,8.5651,7.1697,-6.1538,8.9597
902,600312,平高电气,26.5917,21.6342,4.5464,20.5804,10.911,4.3963
903,002025,航天电器,16.7729,21.6307,9.294,14.1305,-12.9032,9.9929
904,300170,汉得信息,20.7898,21.5751,7.3315,19.805999999999997,-21.2121,7.2061
905,300444,双杰电气,21.3136,21.4258,106.4923,72.1322,-46.4306,106.4923
906,600663,陆家嘴,10.0541,21.4166,6.5349,14.9672,18.6356,12.74
