code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket
002562,兄弟科技,化工原料,浙江,64.0,21706.92,54054.39,219147.7,113079.92,45832.01,82614.28,1.53,0.3,3.1,4.96,20110310
000068,华控赛格,元器件,深圳,0.0,89667.14,100667.14,73572.49,36895.69,19343.55,119427.15,1.19,-0.023,0.59,17.18,19970611
603223,恒通股份,公路,山东,79.0,7900.0,12000.0,92047.27,33855.69,37529.18,28106.4,2.34,0.23399999999999999,5.03,7.36,20150630
600095,哈高科,区域地产,黑龙江,0.0,36126.35,36126.35,109093.11,70973.31,18575.77,26740.84,0.74,-0.025,1.95,5.69,19970708
002307,北新路桥,建筑施工,新疆,183.53,55730.91,55732.71,1314440.75,879789.63,50787.37,50054.09,0.9,0.025,2.68,3.41,20091111
603028,赛福天,钢加工,江苏,132.58,5520.0,22080.0,95586.49,57580.85,23595.4,19095.5,0.86,0.11,3.01,8.7,20160331
600571,信雅达,软件服务,浙江,84.74,41987.21,43967.92,171109.25,113006.63,5220.73,39059.48,0.89,0.14400000000000002,2.48,9.84,20021101
300162,雷曼股份,元器件,深圳,118.94,22193.34,34978.71,129256.52,53819.19,20841.14,62311.76,1.78,0.076,3.13,5.79,20110113
600378,天科股份,化工原料,四川,206.4,29719.33,29719.33,96651.49,66412.42,28475.55,15308.55,0.52,0.04,2.46,6.77,20010111
600867,通化东宝,生物制药,吉林,53.23,136009.31,141872.44,394886.72,164291.61,108012.17,20018.6,0.14,0.23,1.86,12.69,19940824
601666,平煤股份,煤炭开采,河南,62.91,236116.5,236116.5,3798686.5,1319844.0,1817497.75,314058.44,1.33,0.039,4.33,1.14,20061123
300351,永贵电器,元器件,浙江,91.56,19562.4,38460.64,247936.2,93145.6,40613.44,101173.31,2.63,0.17,4.85,5.71,20120920
002037,久联发展,化工原料,贵州,704.19,32736.82,32736.82,748746.88,404259.84,114501.27,62003.6,1.89,0.013000000000000001,6.0,3.15,20040908
300013,新宁物流,仓储物流,江苏,512.34,22715.93,29779.14,172890.02,79463.75,18206.0,90370.4,3.03,0.016,3.94,4.09,20091030
600970,中材国际,建筑施工,江苏,19.94,163994.59,175425.8,2772094.25,2260674.25,201771.63,103227.31,0.59,0.177,3.76,1.88,20050412
002634,棒杰股份,服饰,浙江,125.16,25449.93,46100.26,105345.07,46447.51,17303.89,1312.54,0.03,0.047,1.4,8.3,20111205
000407,胜利股份,供气供热,山东,158.45,66144.9,88008.46,393942.66,143398.86,73703.46,101827.93,1.16,0.021,2.78,2.39,19960703
600778,友好集团,百货,新疆,0.0,31108.66,31149.13,655155.75,223072.47,204046.56,40360.45,1.3,-0.301,4.83,2.23,19961203
300266,兴源环境,机械基件,浙江,101.19,40191.78,50856.01,500901.16,292094.13,44885.53,190580.77,3.75,0.28,5.82,8.22,20110927
002286,保龄宝,食品,山东,93.88,26094.75,36925.6,191244.72,60700.1,97198.42,79981.18,2.17,0.083,4.03,3.85,20090828
603779,威龙股份,红黄药酒,山东,153.73,5020.0,20020.0,141962.47,89200.15,27665.13,14450.34,0.72,0.13,3.72,8.74,20160516
600207,安彩高科,元器件,河南,3514.85,69000.0,86295.59,230121.05,102677.7,74098.56,195878.69,2.27,0.001,1.15,8.57,19990714
300348,长亮科技,软件服务,深圳,694.96,14168.3,29224.0,106357.27,47411.26,6381.18,30835.15,1.06,0.021,2.4,12.14,20120817
300493,润欣科技,通信设备,上海,147.11,3000.0,12000.0,68375.57,67459.28,312.43,21264.36,1.77,0.19399999999999998,3.7,15.46,20151210
600847,万里股份,电气设备,重庆,0.0,15328.74,15328.74,76293.81,38658.7,27067.96,66719.49,4.35,-0.045,4.58,7.46,19940324
600481,双良节能,环境保护,江苏,91.34,162049.56,162049.56,450172.06,305468.75,85776.03,1595.21,0.01,0.038,1.24,5.55,20030422
600740,山西焦化,焦炭加工,山西,0.0,65683.27,76570.0,1093678.13,497511.34,399107.94,225612.02,2.95,-0.113,2.49,3.43,19960808
300011,鼎汉技术,运输设备,北京,670.97,37347.94,52934.37,308497.94,144437.06,48441.2,93705.25,1.77,0.015,3.89,5.24,20091030
600056,中国医药,医药商业,北京,20.23,101213.6,101251.34,1860153.25,1498659.5,143561.7,172943.91,1.71,0.503,5.62,3.63,19970515
002494,华斯股份,服饰,河北,334.43,25477.35,34847.8,243878.3,109282.36,40142.84,70839.8,2.03,0.025,4.03,4.15,20101102
600530,交大昂立,医疗保健,上海,59.15,78000.0,78000.0,277705.03,46376.3,23862.67,6028.71,0.08,0.073,1.98,4.39,20010702
000612,焦作万方,铝,河南,53.18,99117.27,119219.93,826265.88,258365.52,283753.44,161612.61,1.36,0.077,4.09,2.0,19960926
603669,灵康药业,化学制药,西藏,59.1,8645.0,26000.0,129112.67,89571.36,27981.91,64725.1,2.49,0.282,4.19,7.95,20150528
600221,海南航空,空运,海南,16.47,1181206.38,1680612.0,13138097.0,2707662.75,5728559.0,576600.63,0.34,0.1,3.09,1.06,19991125
002108,沧州明珠,塑料,河北,27.09,61443.85,61845.8,299670.06,180726.0,88720.59,44972.9,0.73,0.415,3.15,7.13,20070124
002787,华源包装,广告包装,江苏,55.27,3520.0,14080.0,116780.01,76019.84,27173.58,43895.59,3.12,0.457,6.42,7.88,20151231
300085,银之杰,软件服务,深圳,593.62,32849.64,68354.57,130685.35,76429.96,1137.81,4952.93,0.07,0.022000000000000002,1.32,20.15,20100526
603696,安记食品,食品,福建,138.71,3000.0,12000.0,69527.81,48849.55,4576.35,32275.45,2.69,0.16,5.61,7.89,20151209
000151,中成股份,商贸代理,北京,49.96,26654.4,29598.0,183691.47,159016.36,3977.16,44202.65,1.49,0.184,3.19,5.76,20000906
600179,*ST黑化,焦炭加工,黑龙江,0.0,39000.0,106212.85,86912.27,17272.17,69640.11,32563.73,0.31,-0.26,-0.98,-15.49,19981104
600058,五矿发展,商贸代理,北京,80.56,107191.07,107191.07,2433264.75,1976885.25,111162.72,411974.28,3.84,0.105,4.74,3.56,19970528
603318,派思股份,专用机械,辽宁,2494.8,10620.0,36570.0,106687.65,73516.35,16482.93,6715.17,0.18,0.003,1.2,12.28,20150424
600272,开开实业,服饰,上海,229.58,16000.0,24300.0,99223.74,36429.6,17031.07,1340.93,0.06,0.048,2.0,11.1,20010228
300432,富临精工,汽车配件,四川,44.03,14471.51,36000.0,149658.73,108618.86,32835.06,11843.07,0.33,0.311,2.62,10.45,20150319
002545,东方铁塔,钢加工,山东,77.25,34200.0,78075.0,403986.88,214365.92,56265.38,100795.06,1.29,0.07400000000000001,3.31,3.48,20110211
002427,尤夫股份,化纤,浙江,65.31,39814.87,39815.46,320408.44,160350.94,133308.52,134234.92,3.37,0.168,5.35,4.09,20100608
300307,慈星股份,纺织机械,浙江,45.42,79322.27,80200.0,427926.66,315851.59,17633.68,192787.59,2.4,0.14,4.85,2.62,20120329
300187,永清环保,环境保护,湖南,88.5,59266.16,64760.48,278092.97,173500.7,11121.76,38357.48,0.59,0.08800000000000001,2.12,7.37,20110308
300358,楚天科技,医疗保健,湖南,90.9,13975.21,44637.44,257144.27,141489.47,64574.46,78443.35,1.76,0.11199999999999999,3.45,5.89,20140121
300021,大禹节水,农业综合,甘肃,160.87,16558.88,31894.42,240660.17,195467.81,28023.43,71030.15,2.23,0.06,3.97,4.83,20091030
601015,陕西黑猫,焦炭加工,陕西,101.56,44400.0,93000.0,936546.38,365339.25,359863.22,91719.95,0.99,0.04,2.71,3.0,20141105
300474,景嘉微,元器件,湖南,151.08,6700.0,26700.0,90609.86,74795.25,820.24,36424.8,1.36,0.201,3.15,19.23,20160331
002376,新北洋,电脑设备,山东,53.19,57213.48,63149.01,366832.16,175250.05,77992.5,64222.1,1.02,0.14,3.58,3.94,20100323
002484,江海股份,元器件,江苏,73.25,48992.91,62704.26,213152.59,127419.07,55604.13,48039.12,0.77,0.09699999999999999,3.2,4.42,20100929
603588,高能环境,环境保护,北京,154.21,24275.63,33092.3,379838.16,200606.06,9787.8,90225.4,2.73,0.113,5.56,6.26,20141229
603555,贵人鸟,服饰,福建,51.94,11388.5,61400.0,509216.56,317527.34,56192.36,83873.81,1.37,0.256,3.69,7.2,20140124
601313,江南嘉捷,运输设备,江苏,29.1,39718.25,39718.25,269246.84,183284.63,44353.1,34969.6,0.88,0.223,4.07,3.19,20120116
002765,蓝黛传动,汽车配件,重庆,48.02,7984.6,20800.0,154683.44,81943.55,44144.15,59312.23,2.85,0.284,4.81,5.67,20150612
000031,中粮地产,全国地产,深圳,53.47,181372.3,181373.16,5947418.5,5346844.5,63287.98,27967.23,0.15,0.08900000000000001,3.08,3.08,19931008
600965,福成股份,农业综合,河北,74.46,38005.46,81870.09,217569.27,128637.86,56902.26,29767.09,0.36,0.10400000000000001,2.02,7.64,20040713
002315,焦点科技,互联网,江苏,210.63,6058.18,11750.0,239389.67,192851.48,2606.29,120699.51,10.27,0.163,16.21,4.23,20091209
002705,新宝股份,家用电器,广东,33.91,13481.99,57460.16,503788.06,321682.19,132994.52,57803.46,1.01,0.248,4.12,4.08,20140121
603010,万盛股份,化工原料,浙江,50.33,10480.04,25439.19,116754.92,52781.7,25424.09,47052.76,1.85,0.26899999999999996,3.82,7.07,20141010
000977,浪潮信息,电脑设备,山东,51.36,95972.57,99928.27,848657.31,695937.75,27253.05,164948.84,1.65,0.26,4.06,6.59,20000608
600512,腾达建设,建筑施工,浙江,98.74,97080.54,159890.28,597035.25,434972.25,12272.71,63310.78,0.4,0.027999999999999997,2.03,2.7,20021226
600322,天房发展,区域地产,天津,0.0,110570.0,110570.0,2724419.5,2565133.5,11202.37,220524.2,1.99,-0.079,4.03,1.51,20010910
002482,广田集团,装修装饰,深圳,46.36,130959.0,155121.95,1297235.38,1131236.25,42031.68,235858.8,1.52,0.105,3.79,2.57,20100929
